Name of Farm,Farm ,What type of bedding is used for lactating cows?,How Often is Bedding Topped up (per week),How often are alleyways scraped per day?,Is detergent used on Towels?,Is bleach used on towels?,Is the holding area scraped during milking?,Is the holding area flushed with water during milking?,"Are udders clipped or flamed? If so, how often? Per year","Is udder cleanliness scored routinely? If so, how often? Per year","Is teat end cleanliness scored routinely? If so, how often? Per year","Is teat end condition scored routinely? If so, how often? Per year"
Noblehurst Farms,F,Sawdust,3,3,Y,N,Y,N,2,"Yes, Infrequently","Yes, Infrequently","Yes, Infrequently"
Mulligan Farm,E,Sand,1,3,Paper Towel ,Paper Towel,Y,Y,4,No,No,No
Baker Brook Dairy LLC,A,Sand,2,3,N,Y,N,Y,4,"Yes, Frequently",No,No
Synergy LLC,H,Manure solids,6,3,Y,Y,Y,Y,4,No,"Yes, Frequently","Yes, Infrequently"
"Coyne Farms, Inc.",B,Sawdust,7,3,Y,Y,Y,N,2,No,No,No
"Lawnel Farms 2, LLC",C,Sand/Sawdust,2,1,Y,N,Y,N,2,"Yes, Very Frequently ","Yes, Very Frequently ","Yes, Very Frequently "
Southview Dairy LLC,G,Manure Solids,7,3,Y,Y,N,Y,12,"Yes, Frequently","Yes, Frequently",No
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,, ,,,,
